publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2021312138-A1,System and method for handling out of scope or out of domain user inquiries ,"MeetKai, Inc.",James Kaplan,3/10/2020,10/7/2021,2021
US-2024362990-A1,System and method for telematics accounts on-the-ground safety ,Hartford Fire Insurance Company,"David J Turner, Joseph M. Samela, III",12/1/2021,10/31/2024,2024
US-2024039288-A9,Control system for power distribution ,"Ut-Battelle, Llc","Madhu Sudhan Chinthavali, Michael Starke, Radha Krishna Moorthy, Steven Campbell",11/17/2021,2/1/2024,2024
US-2024151201-A1,Vehicle emergency starting device and a control method thereof ,Dh Energy System Corporation,Dong-Hwi Kim,11/5/2022,5/9/2024,2024
US-10821938-B1,Compute system with theft alert mechanism and method of operation thereof ,"Moj.Io, Inc.","Andrew Morrison, Kyle MacDonald, Alan Messer",5/1/2020,11/3/2020,2020
US-2024395262-A1,Vehicle-mounted human-machine interaction system ,Pateo Connect+ Technology (Shanghai) Corporation,Chen Liang,9/3/2021,11/28/2024,2024
US-2023054145-A1,Methods and systems for monitoring vehicle motion with driver safety alerts ,"Argo AI, LLC","Colen McAlister, David Breeden, Thomas Petroff, Christopher Cunningham, Patrick Barone, Arek Sredzki, Neal Seegmiller, Xi CAI",1/8/2021,2/23/2023,2023
US-2024083438-A1,"Vehicle control method and apparatus, and vehicle ","Huawei Technologies Co., Ltd.","Qing Su, Wenxiao HU",4/14/2021,3/14/2024,2024
US-11659154-B1,Virtual horizontal stereo camera ,Ambarella International Lp,"Omar Pighi, Alessandro Pacchioni",8/24/2020,5/23/2023,2023
US-2023184561-A1,Systems and methods for providing a monitoring service for a pedestrian ,"Ford Global Technologies, Llc","Stuart C. Salter, Hussein Berry, Ryan O'Gorman, John Robert Van Wiemeersch",12/10/2021,6/15/2023,2023
US-2024007947-A1,Wireless fidelity wi-fi communication method and apparatus ,"Huawei Technologies Co., Ltd.",Zhenzhong Wang,2/27/2021,1/4/2024,2024
US-2024127074-A1,"Multi-task network model–based communication method, apparatus, and system ","Huawei Technologies Co., Ltd.","Mengyang WANG, Jiahui Li, Mengyao Ma, Junwen XIE, Zhicong Zhang, Min Yan",6/29/2021,4/18/2024,2024
US-2023011288-A1,Power and Communications Pedestal for Recreational Vehicles ,Motion Power LLC,Eric Larsen,7/6/2021,1/12/2023,2023
US-11915122-B2,Gateway for distributing an artificial neural network among multiple processing nodes ,"Micron Technology, Inc.","Poorna Kale, Amit Gattani",7/29/2020,2/27/2024,2024
US-2021205996-A1,Localization of robot ,Lg Electronics Inc.,"Sookhyun Yang, JungSik Kim, Gyuho EOH",1/8/2020,7/8/2021,2021
US-2022301099-A1,Systems and methods for generating object detection labels using foveated image magnification for autonomous driving ,"Argo AI, LLC","Nicolas Cebron, Deva K. Ramanan, Mengtian Li",3/16/2021,9/22/2022,2022
US-2022319196-A1,"Method and apparatus for detecting lane lines, electronic device and storage medium ","Beijing Tusen Zhitu Technology Co., Ltd.","Zhenwei SHEN, Zehao HUANG, Naiyan Wang",4/1/2021,10/6/2022,2022
US-2022270377-A1,"Method and apparatus for detecting corner points of lane lines, electronic device and storage medium ","Beijing Tusen Zhitu Technology Co., Ltd.","Zhenwei SHEN, Zehao HUANG, Naiyan Wang",2/23/2021,8/25/2022,2022
US-2021351612-A1,"Solar inverter power output communications methods, and related computer program products ",Duke Energy Corporation,"Sabin Jerome Fannin, Justin Scott Hatcher, Eric Daniel Stone, Kurt Brischke",5/11/2020,11/11/2021,2021
US-2024196272-A1,Methods for Predicting and Signaling Traffic Status and Migration ,Telefonaktiebolaget Lm Ericsson (Publ),"Philipp Bruhn, Angelo Centonza, Luca Lunardi, Pablo Soldati, Reem Karaki, Henrik Rydén, Ali Parichehrehteroujeni",4/30/2021,6/13/2024,2024
US-2023224158-A1,System and method for processing a battery passport ,World Economic Forum,"Jonathan ECKART, Stanislaus MATHY",1/12/2022,7/13/2023,2023
US-2023304555-A1,Systems and methods for detecting excessive or uneven wear on a brake pad or a rotor of a vehicle ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Katsumi Nagata, Masashi Nakagawa",3/8/2022,9/28/2023,2023
US-2025007860-A1,Method and Apparatus for Inter-domain Configuration of Time-Sensitive Networks ,Telefonaktiebolaget Lm Ericsson (Publ),"János Farkas, Balázs Varga, György Miklós",7/13/2021,1/2/2025,2025
US-2023058424-A1,Selection of Block Size for Namespace Management in Non-Volatile Memory Devices ,"Micron Technology, Inc.",Alex Frolikov,8/17/2021,2/23/2023,2023
US-2024062310-A1,Automated method and system for determining an expected damage of an electrically powered vehicle ,Swiss Reinsurance Company Ltd.,Hans Felix ROSENBAUM,8/13/2021,2/22/2024,2024
US-2023196234-A1,End-to-end carbon footprint leveraging prediction models ,Volkswagen Aktiengesellschaft,"Mohak BHIMANI, Mikhail TETELMAN, Maximilian THUM, Ethan BOROSON",12/16/2021,6/22/2023,2023
US-2024051424-A1,Interoperability platform for charging infrastructure ,"Rivian Ip Holdings, Llc","Tyler Jennings Bennett, Tyler Jay Erikson, Kyle Robert Underhill, Trent Warnke, Sara Eslinger, Sarah Hipel",8/10/2022,2/15/2024,2024
US-2022153084-A1,Apparatus and method for sanitizing a vehicle interior ,"Ford Global Technologies, Llc","Zachary Alan Pecchia, Robert D. Bedard, James Alan Acre",11/19/2020,5/19/2022,2022
US-2022394526-A1,Communication method and apparatus ,"Huawei Technologies Co., Ltd.","Feng Wang, Lixia Xue, Xu Zhang",2/18/2020,12/8/2022,2022
US-2022019527-A1,Temperature-Based Data Storage Processing ,"Micron Technology, Inc.",Junichi Sato,2/5/2020,1/20/2022,2022
US-2022266105-A1,Wheeled personal robotic omni vehicle ,Timothy J. Roszhart,Timothy J. Roszhart,2/20/2021,8/25/2022,2022
US-2023093714-A1,Intelligent battery cell ,Volvo Car Corporation,Markus EKSTRÖM,9/21/2021,3/23/2023,2023
US-2023093000-A1,Intelligent battery cell ,Volvo Car Corporation,Markus EKSTRÖM,9/21/2021,3/23/2023,2023
US-2024004509-A1,Closed-loop generation of insights from source data ,Qliktech International Ab,"José Francisco Díaz López, Nicholas Magnuson",7/3/2022,1/4/2024,2024
US-2023174042-A1,Intelligent Engine Activation Planner ,"Nissan North America, Inc.","Kyle Hollins Wray, Liam Pedersen, Richard Lui, Christopher Ostafew",12/22/2020,6/8/2023,2023
US-2022201083-A1,Platform for integrating disparate ecosystems within a vehicle ,Cerence Operating Company,"Prateek Kathpal, Brian Arthur RUBIN, Holger Scholl",12/22/2020,6/23/2022,2022
US-2023091529-A1,Intelligent battery cell ,Volvo Car Corporation,Markus EKSTRÖM,9/21/2021,3/23/2023,2023
US-2023322094-A1,Emulation of internal combustion engine for driver of electric vehicle ,"Atieva, Inc.",Warren van Nus,3/22/2022,10/12/2023,2023
US-2024168093-A1,"Device and Method for Predicting Low Voltage Failure of Secondary Battery, and Battery Control System Comprising Same Device ","Lg Chem, Ltd.","Changsun Kong, SunMin Kim, Kyu Hwang Lee",6/18/2021,5/23/2024,2024
US-12169964-B2,System and method for providing weakly-supervised online action segmentation ,"Honda Motor Co., Ltd.","Reza GHODDOOSIAN, Isht Dwivedi, Nakul Agarwal, Chiho Choi, Behzad Dariush",11/10/2021,12/17/2024,2024
US-2023085482-A1,Vehicle with geo-fenced ride control system ,"Land Energy, Inc","George Henry Remington, Evan Painter, Zack Simmering, Scott Colosimo, Garvin Seto",9/10/2021,3/16/2023,2023
US-2024275519-A1,Training Network-Based Decoders of User Equipment (UE) Channel State Information (CSI) Feedback ,Telefonaktiebolaget Lm Ericsson (Publ),"Roy TIMO, Rakesh Ranjan, Henrik Rydén, Xinlin Zhang, Mattias Frenne",6/25/2021,8/15/2024,2024
US-2024283509-A1,Combining Proprietary and Standardized Techniques for Channel State Information (CSI) Feedback ,Telefonaktiebolaget Lm Ericsson (Publ),"Roy TIMO, Mattias Frenne, Rakesh Ranjan, Xinlin Zhang",6/28/2021,8/22/2024,2024
US-2022410688-A1,Electric refuse vehicle power management ,The Heil Co.,"Brian T. Parker, Savannah G. Chandler, Brian Huston HAM, Stanley L. Maroney, Rebecca B. Palmer, Michael Shane Peek, John Forrest Smith, Bryan STEWART",6/29/2021,12/29/2022,2022
US-2024078444-A1,Vehicle fault reasoning method based on knowledge graph ,Shanghai University Of Engineering Science,"Zhijun Fang, Yuanyuan Li, Yongbin Gao, Weibing Wan",9/1/2022,3/7/2024,2024
US-2022349720-A1,Method of navigating autonomous vehicle to passenger pickup / drop-off location ,"Argo AI, LLC","Shenglong Gao, Ramadev Burigsay Hukkeri, Israel-Marc Kositsky, Dale Lord",4/29/2021,11/3/2022,2022
US-11656093-B2,Method and system for navigating vehicle to pickup / drop-off zone ,"Argo AI, LLC","Jonathan Pan, Matthew L. Gilson, Shenglong Gao",9/27/2021,5/23/2023,2023
US-2022194482-A1,Vehicle Body Joint Structure ,"Hyundai Motor Company, Kia Corporation","Won Ki SONG, Yongha HAN, Youn Sic Nam, Ui-Jin Jung",12/17/2020,6/23/2022,2022
US-2022349721-A1,Determination of path to vehicle stop location in a cluttered environment ,"Argo AI, LLC","Ramadev Burigsay Hukkeri, Jay Sidhu, Mauro Della Penna, Jonathan Pan",4/29/2021,11/3/2022,2022
US-2023046272-A1,"Method for Controlling Vehicle-Mounted Camera by Using Mobile Device, Device, and System ","Huawei Technologies Co., Ltd.","Qiang Tao, Jing Han, Guangyuan Gao",1/9/2020,2/16/2023,2023
US-2022147042-A1,"Near Real-Time Data and Video Streaming System for a Vehicle, Robot or Drone ",Guident Ltd.,"Michael J. Trank, Gabriel Castaneda",9/18/2020,5/12/2022,2022
US-11524600-B2,Electronic vehicle charge regulation ,"Kyndryl, Inc.","Michael TREADWAY, Shikhar KWATRA, Michael Anthony Adams, Michael Millies",7/8/2020,12/13/2022,2022
US-2024420741-A1,Validation of dram content using internal data signature ,"Micron Technology, Inc.",Gil Golov,8/12/2020,12/19/2024,2024
US-11005582-B1,Use of 5G IoT network to control moving objects in a smart environment ,Kiomars Anvari,Kiomars Anvari,1/15/2020,5/11/2021,2021
US-2023249699-A1,"Computer, vehicle, server, mobile terminal, and vehicle management method ",Toyota Jidosha Kabushiki Kaisha,"Ryosuke Kobayashi, Tomokazu MAYA, Tsuyoshi Okada, Hiromitsu Fujii",2/10/2022,8/10/2023,2023
US-2023286493-A1,"Vehicle, motion manager, and motion request correction method ",Toyota Jidosha Kabushiki Kaisha,Nobuyuki Tomatsu,3/14/2022,9/14/2023,2023
US-2023316320-A1,Value conversion of user behavioral data ,Sony Group Corporation,"Ted Yamazaki, Steve Saito, Makoto Sasaki, Tetsugoro Ihara, Hitoshi Yamane, Koji Miura, Tonni Sandager Larsen",3/29/2022,10/5/2023,2023
US-2023362769-A1,"Cell Selection or Reselection Method, Terminal Device, and Network Device ","Huawei Technologies Co., Ltd.","Nannan Liu, Jiaojiao Li, Junren Chang, Lingshuai Kong, Zhenzhen CAO",1/17/2021,11/9/2023,2023
US-11441800-B2,Autonomous machine learning diagonostic system with simplified sensors for home appliances ,"FPL Smart Services, LLC","Brent B. ROWSWELL, Raymond C. DICKENSON",1/7/2020,9/13/2022,2022
US-2023362596-A1,Communication method and apparatus ,"Huawei Technologies Co., Ltd.","Bin Xu, Bingzhao LI, Zhenzhen CAO, Yan Wang",1/14/2021,11/9/2023,2023
US-11740290-B2,"Energy storage cell qualification and related systems, methods, and devices ","Battelle Energy Alliance, Llc","BorYann Liaw, Yulun ZHANG, Qiang Wang",1/14/2020,8/29/2023,2023
US-2023166627-A1,Robotic charging device ,Gm Cruise Holdings Llc,"Kyle Vogt, Yung-Chang Ko, Lukas Holoubek, Mark Liu",11/30/2021,6/1/2023,2023
US-11904712-B2,Foreign object detection for wireless power transfer systems ,Inductev Inc.,"Matthew L. Ward, Jorge E. Rivé",4/15/2022,2/20/2024,2024
US-11450209-B2,Vehicle and method for controlling thereof ,"Hyundai Motor Company, Kia Motors Corporation",Kyoung Jin CHANG,6/26/2020,9/20/2022,2022
US-2024203168-A1,Systems and methods for automatically predicting and scheduling vehicle repairs ,"Cox Automotive, Inc.","Hesham Starkey, Jordan Smith, Jonathan Snyder, Bradley Barnes",12/15/2022,6/20/2024,2024
US-2024124007-A1,Truck bed hauling warning system for shifting loads ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha",Thomas S. Hawley,10/12/2022,4/18/2024,2024
US-2022016947-A1,Dynamic lateral trailer hitch positioning system ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Ethan W. POMISH,7/17/2020,1/20/2022,2022
US-2021384580-A1,System for mobilizing batteries of a vehicle ,Harrison Powell,Harrison Powell,6/8/2020,12/9/2021,2021
US-2024034180-A1,Method for reducing carbon footprint leveraging a cost function for focused optimization ,Volkswagen Aktiengesellschaft,"Mohak BHIMANI, Ethan BOROSON, William Arthur PAXTON, Maximilian THUM",7/27/2022,2/1/2024,2024
US-2022415318-A1,Voice assistant activation system with context determination based on multimodal data ,Cerence Operating Company,"Stefan Werner HAMERICH, Holger Quast, Mohammad Mehdi Moniri, Niels Does",6/24/2021,12/29/2022,2022
US-2023322173-A1,Method for automatically controlling vehicle interior devices including driver`s seat and apparatus therefor ,Mobilint Inc.,Jongjun PARK,12/16/2020,10/12/2023,2023
US-2024267783-A1,Zero-trust connectivity for Subscriber Identity Module (SIM) enabled equipment ,"Zscaler, Inc.",Nathan Howe,3/8/2021,8/8/2024,2024
US-2023343104-A1,Systems and methods for providing a vehicle-based security system ,"Ford Global Technologies, Llc","Dmitry Ogorodnikov, Steven Anthony Chapekis",4/20/2022,10/26/2023,2023
US-2023161623-A1,Vehicle as a distributed computing resource ,Volvo Car Corporation,Raik ORBAY,11/19/2021,5/25/2023,2023
US-2022157449-A1,Automated triage nurse system in a vehicle ,"Ford Global Technologies, Llc","Stuart Salter, John Van Wiemeersch, Peter Phung, Paul Kenneth Dellock, Annette Huebner, Kristin Hellman",11/13/2020,5/19/2022,2022
US-2023206265-A1,Optimized dynamic pricing engine ,Way Inc.,"Binumon Thamarashn GIRIJA, Nagappan ARUNACHALAM, Rangarakesh KANCHAMREDDY, Lakshmi Sowjanya KALARI",12/27/2021,6/29/2023,2023
US-2023351774-A1,Vehicle taillight recognition based on a velocity estimation ,"Toyota Research Institute, Inc., Toyota Jidosha Kabushiki Kaisha","Kuan-Hui Lee, Charles Christopher Ochoa, Arjun BHARGAVA, Chao Fang",4/28/2022,11/2/2023,2023
US-2022396287-A1,Adaptive trust calibration ,"Honda Motor Co., Ltd.","Kumar Akash, Teruhisa Misu",6/10/2021,12/15/2022,2022
US-11590880-B1,Predictive illumination shaping ,"Rivian Ip Holdings, Llc","Simon Baker, Erik Humm",5/13/2022,2/28/2023,2023
US-2021209136-A1,Computer-based method and system for urban planning ,Quantela Inc,"Sanjiv Kumar Jha, Vikash Shivhare, Sumedh Ghatage, Shubham Agarwal, Priyanka Kumari Choudhary, Ameya Datar, Musalaiah Pemmadi",1/6/2020,7/8/2021,2021
US-2023208287-A1,"Dc/dc converter, voltage gain switching method and system ","Huawei Digital Power Technologies Co., Ltd.","Haitao Chen, Xingzhong Zhang, Zhengdong Jiang",9/1/2020,6/29/2023,2023
US-2023331116-A1,Power supply system for electric vehicles ,Yongxin Wang,Yongxin Wang,2/8/2020,10/19/2023,2023
US-2024428394-A1,Systems and methods for automated electrical panel analysis ,Bp Pulse Fleet North America Inc.,"Ethan Shaotran, Bryan M. Chow",7/2/2021,12/26/2024,2024
US-2023199870-A1,Application method of computing bearer and apparatus ,"Huawei Technologies Co., Ltd.","Chenghui PENG, Mingzeng Dai, Jianjun Wu",8/17/2020,6/22/2023,2023
US-2021208590-A1,Method and system for providing clothing management service ,Lg Electronics Inc.,"Sungil Cho, Inyoung Hwang, Kyoungha Lee",1/2/2020,7/8/2021,2021
US-2022274496-A1,Charging system of an electric vehicle using traction inverter and electric machine ,Volvo Car Corporation,"Narendar Rao GANNAMANENI, Lars Johan Henrik Sjöstedt, Andreas Lars Bertil Ådahl",3/1/2021,9/1/2022,2022
US-2024267972-A1,Prediction and Proactive Handling of Radio Link Failures ,Telefonaktiebolaget Lm Ericsson (Publ),"Antonino ORSINO, Stefan Wager, Per Willars",8/3/2021,8/8/2024,2024
US-2024195199-A1,"Systems, apparatuses and methods for appliances with integrated energy storage ","Impulse Labs, Inc.","Samuel Redmond D'AMICO, Samuel William Lenius, Bradley James Tallon, Deanna James Chang, Brian H. Sharp",1/21/2022,6/13/2024,2024
US-2022366481-A1,Systems and methods for secure peer-to-peer vehicle rentals ,"Ford Global Technologies, Llc",Abraham Mezaael,5/17/2021,11/17/2022,2022
US-12045713-B2,Detecting adversary attacks on a deep neural network (DNN) ,International Business Machines Corporation,"Jialong Zhang, Zhongshu Gu, Jiyong Jang, Marc Philippe Stoecklin, Ian Michael Molloy",11/17/2020,7/23/2024,2024
US-2023092765-A1,"Systems, methods and apparatus for improving rechargeable energy storage devices and integrated circuits ","Knoetik Solutions, Inc.","Kyra Dhawan, Kian Dhawan",9/21/2021,3/23/2023,2023
US-2024020667-A1,Charging management engine in an electric vehicle management system ,"Rivian Ip Holdings, Llc","Chakravarthy K. Allamsetty, Connie Wong Yang",7/15/2022,1/18/2024,2024
US-2024075822-A1,"Multiple connection switch, and charging location-selective electric vehicle charging system comprising same ","Fec Co., Ltd.","Sang Hwa Lee, Yoon Won LEE, Kyung Jin Lee",1/26/2021,3/7/2024,2024
